#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
1,claim,7017666017,59,someone shared with me that drone deliveries are already happening and will become common by 2025,not verified,under review,343296,19425,241,1,0
2,claim,4014381136,32,someone shared with me that there are more microorganisms in one teaspoon of soil than people on the planet,not verified,active,140877,77355,19034,1161,684
3,claim,9859838091,31,"someone shared with me that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",not verified,active,902185,97690,2858,833,329
4,claim,1866847991,25,"someone shared with me that the metro of st. petersburg, with an average depth of hundred meters, is the deepest metro in the world",not verified,active,437506,239954,34812,1234,584
5,claim,7105231098,19,someone shared with me that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,not verified,active,56167,34987,4110,547,152
6,claim,8972200955,35,someone shared with me that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,under review,336647,175546,62303,4293,1857
7,claim,4958886992,16,someone shared with me that elvis presley has sold more records than the music band the beatles,not verified,active,750345,486192,193911,8616,5446
8,claim,2270982263,41,"someone shared with me that the best selling single of all time is ""white christmas"" by bing crosby",not verified,active,547532,1072,50,22,11
9,claim,5235769692,50,someone shared with me that about half of the world's population can access the web via a mobile device,not verified,active,24819,10160,1050,53,27
10,claim,4660861094,45,someone shared with me that it would take a 50 petabyte drive to store every written work ever created,verified,active,931587,171051,67739,4104,2540
11,claim,8095102436,47,someone shared with me that an average user spends 40% of their day on the internet,not verified,active,695641,238030,23062,1719,378
12,claim,4507218541,30,someone shared with me that the world generates 2.5 quintillion bytes of data every day,not verified,active,482046,168107,19474,3282,532
13,claim,3609761483,51,someone shared with me that the longest recorded cricket match lasted 14 days,not verified,active,700081,434565,97995,2408,1411
14,claim,3850678773,20,"someone shared with me that 1920 was the last time the event ""tug-of-war"" was played in the summer olympics",not verified,under review,929685,497236,154917,1225,805
15,claim,1656032315,42,someone shared with me that american basketball legend wilt chamberlain never fouled out of a game,not verified,active,937231,237318,81496,1867,960
16,claim,9277685719,10,"someone shared with me that the city with the largest bus network in the world is jakarta, indonesia",not verified,active,746186,193,29,2,0
17,claim,9346511024,11,someone shared with me that a dog’s sense of smell is much more powerful than a human's,not verified,active,923007,67714,17710,845,536
18,claim,9533847147,27,"someone shared with me that a common garden snail has over 12,000 teeth",not verified,active,467702,40435,2804,495,327
19,claim,2359906270,11,someone shared with me that we only see the same side of the moon,not verified,active,168594,105245,37929,1723,694
20,claim,7146819625,34,someone shared with me that the moon was once part of the earth,not verified,active,249935,20437,2240,212,70
21,claim,3827012052,27,someone shared with me that neptune radiates more heat than it gets from the sun,not verified,active,550259,30528,6704,258,88
22,claim,6940114042,20,someone shared with me that there are more stars in the universe than grains of sand on earth,not verified,active,510989,162612,26745,2507,1283
23,claim,7986031283,52,"someone shared with me that about once a year, an asteroid the size of a car enters earth’s atmosphere",not verified,banned,60096,34245,11345,219,77
24,claim,5733649579,54,"someone shared with me that through the seasons, a reindeer’s eyes will change color",not verified,active,750942,136252,27119,2637,1206
25,claim,2736327047,39,someone shared with me that elephants will console each other during stressful situations,not verified,active,353722,39844,10399,181,54
26,claim,6792082620,33,someone shared with me that avocados never ripen while they are still attached to the tree,not verified,active,506061,288150,39351,2405,1134
27,claim,2385469584,10,someone shared with me that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,not verified,under review,50892,7976,2903,125,78
28,claim,6569363811,22,someone shared with me that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,not verified,under review,812056,329068,3515,5200,1108
29,claim,6301836558,21,someone shared with me that people don’t sneeze in their sleep,not verified,active,677855,332569,97961,5531,2386
30,claim,6854087993,48,"someone shared with me that at birth, baby pandas are smaller than mice",not verified,active,74323,20940,3678,274,63
31,claim,7568304116,55,someone shared with me that the microwave oven was an accidental invention,not verified,active,573518,324003,125931,4737,2918
32,claim,7730527836,21,someone shared with me that a blue whale's heartbeat can be heard from two miles away,not verified,banned,376637,226700,69329,2060,278
